what,when,with,where,amount
ASHA Research Mentoring Network: Lessons for Success, April 2021,American Speech-Language-Hearing Association,USA,Attendance at 3-day virtual workshop
Professional Development and Postdoctoral Affairs Travel Award, August 2019,Boston University,"Boston, MA, USA",500 USD
ASHA Research Mentoring Network: Pathways Program, June 2019,American Speech-Language-Hearing Association,USA,"Travel, accommodation and food costs for duration of workshop"
Polatajko-Howell Student Conference Presentation Fund, June 2017,University of Toronto,"Toronto, Canada",300 CAD
Rehabilitation Sciences Institute Peer Mentorship Award, May 2017,University of Toronto,"Toronto, Canada",100 CAD
Rehabilitation Sciences Institute Presentation Award, May 2017,University of Toronto,"Toronto, Canada",300 CAD
Office of Research Trainees Conference Travel Award, March 2016,University Health Network,"Toronto, Canada",500 CAD
Graduate Scholarship Prize, November 2015,Toronto Rehabilitation Institute - University Health Network,"Toronto, Canada",1000 CAD
School of Graduate Studies Conference Grant, November 2014,University of Toronto,"Toronto, Canada",850 CAD
Speech-Language Pathology Travel Award, March 2014,University of Toronto,"Toronto, Canada",425 CAD
Undergraduate College Scholarship, May 2010,University College Cork,"Cork, Ireland",1000 EUR
